1,4
2,7
3,14
4,22
5,31
6,41
7,55
8,67
9,88
10,101
11,122
12,139
13,167
14,188
15,221
16,246
17,281
18,308
19,344
20,379
21,409
22,456
23,489
24,544
25,578
26,637
27,663
28,726
29,760
30,826
31,867
32,936
33,993
34,1053
35,1115
36,1173
37,1230
38,1302
39,1363
40,1441
41,1511
42,1594
43,1662
44,1743
45,1821
46,1902
47,1980
48,2068
49,2159
50,2243
51,2333
52,2430
53,2513
54,2620
55,2703
56,2810
57,2897
58,3014
59,3106
60,3221
61,3330
62,3470
63,3589
64,3729
65,3849
66,3993
67,4117
68,4265
69,4350
70,4511
71,4595
72,4766
73,4856
74,5033
75,5127
76,5307
77,5402
78,5582
79,5686
80,5859
81,5985
82,6146
83,6285
84,6435
85,6584
86,6749
87,6877
88,7050
89,7179
90,7369
91,7513
92,7700
93,7845
94,8029
95,8181
96,8363
97,8527
98,8709
99,8889
100,9067
101,9247
102,9421
103,9608
104,9773
105,9976
106,10156
107,10359
108,10543
109,10736
110,10929
111,11130
112,11323
113,11527
114,11725
115,11939
116,12125
117,12339
118,12542
119,12764
120,12975
121,13177
122,13408
123,13613
124,13835
125,14049
126,14266
127,14489
128,14715
129,14940
130,15168
131,15389
132,15621
133,15858
134,16098
135,16327
136,16567
137,16814
138,17041
139,17295
140,17541
141,17790
142,18034
143,18277
144,18540
145,18779
146,19060
147,19310
148,19585
149,19829
150,20103
151,20364
152,20621
153,20897
154,21164
155,21450
156,21725
157,22009
158,22258
159,22554
160,22803
161,23099
162,23366
163,23678
164,23971
165,24271
166,24550
167,24847
168,25109
169,25437
170,25697
171,26048
172,26317
173,26655
174,26917
175,27248
176,27551
177,27868
178,28166
179,28499
180,28812
181,29153
182,29440
183,29815
184,30070
185,30463
186,30723
187,31115
188,31378
189,31785
190,32053
191,32450
192,32749
193,33179
194,33534
195,33970
196,34331
197,34759
198,35123
199,35555
200,35837
201,36270
202,36528
203,36982
204,37257
205,37718
206,37986
207,38453
208,38724
209,39181
210,39476
211,39904
212,40247
213,40658
214,41020
215,41406
216,41779
217,42189
218,42516
219,42938
220,43267
221,43728
222,44077
223,44521
224,44869
225,45300
226,45668
227,46089
228,46473
229,46901
230,47306
231,47727
232,48121
233,48534
234,48939
235,49328
236,49765
237,50179
238,50619
239,51033
240,51448
241,51873
242,52310
243,52726
244,53167
245,53587
246,54045
247,54438
248,54895
249,55322
250,55788
251,56221
252,56644
253,57119
254,57546
255,58000
256,58438
257,58879
258,59332
